[11/27/2014 18:19:32]User Zeroeh has bought Dagger of Foul Malevolence for (650, Gold)
[11/27/2014 18:19:34]User Zeroeh has bought Prism of Apparitions for (360, Gold)
[11/27/2014 18:19:42]User Zeroeh has bought Hydra Skin Armor for (800, Gold)
[11/27/2014 18:19:51]User Zeroeh has bought Ring of Exalted Defense for (360, Gold)
[11/27/2014 18:22:41]User Zeroeh has bought Bow of Covert Havens for (600, Gold)
[11/27/2014 18:22:44]User Zeroeh has bought Quiver of Elvish Mastery for (400, Gold)
[11/27/2014 18:22:54]User Zeroeh has bought Ring of Exalted Health for (360, Gold)
[11/27/2014 18:23:01]User Zeroeh has bought Hydra Skin Armor for (800, Gold)
[11/27/2014 18:25:48]User Zeroeh has bought Cloak of Ghostly Concealment for (400, Gold)
[11/27/2014 18:25:54]User Zeroeh has bought Dagger of Foul Malevolence for (650, Gold)
[11/27/2014 18:26:03]User Zeroeh has bought Ring of Exalted Wisdom for (180, Gold)
[11/27/2014 18:26:08]User Zeroeh has bought Hydra Skin Armor for (800, Gold)
[11/27/2014 18:28:04]User Zeroeh has bought Helm of the Great General for (360, Gold)
[11/27/2014 18:28:23]User Zeroeh has bought Acropolis Armor for (850, Gold)
[11/27/2014 18:28:25]User Zeroeh has bought Sword of Acclaim for (900, Gold)
[11/27/2014 18:28:44]User Zeroeh has bought Ring of Exalted Magic for (360, Gold)
[11/27/2014 20:21:22]User SmitedGold has bought Colossus Shield for (360, Gold)
[11/27/2014 20:21:33]User SmitedGold has bought Acropolis Armor for (850, Gold)
[11/27/2014 20:21:34]User SmitedGold has bought Sword of Acclaim for (900, Gold)
[11/27/2014 20:21:39]User SmitedGold has bought Ring of Exalted Speed for (180, Gold)
[11/27/2014 20:21:44]User SmitedGold has bought Ring of Exalted Wisdom for (180, Gold)
[11/27/2014 20:29:17]User SmitedGold has bought Wand of Recompense for (550, Gold)
[11/27/2014 20:29:19]User SmitedGold has bought Scepter of Storms for (360, Gold)
[11/27/2014 20:29:28]User SmitedGold has bought Robe of the Grand Sorcerer for (850, Gold)
[11/27/2014 20:29:51]User SmitedGold has bought Ring of Exalted Vitality for (180, Gold)
[11/27/2014 23:22:25]User Zeroeh has bought Elixir of Magic 7 for (2000, Fame)
[11/27/2014 23:22:25]User Zeroeh has bought Elixir of Health 7 for (2000, Fame)
[11/28/2014 11:55:28]User Zeroeh has bought Beachzone Key for (0, Fame)
[11/28/2014 14:23:24]User Zeroeh has bought Staff of the Cosmic Whole for (900, Gold)
[11/28/2014 14:23:33]User Zeroeh has bought Robe of the Grand Sorcerer for (850, Gold)
[11/28/2014 14:23:43]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:43]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:44]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:44]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:44]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:47]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:47]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:48]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:48]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:48]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:48]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:49]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:49]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:49]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:53]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:53]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:53]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:53]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:54]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:54]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:55]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:58]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:58]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:23:59]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:24:00]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:24:00]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:24:00]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:24:00]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:24:01]User Zeroeh has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:27:55]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:27:56]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:27:57]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:27:57]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:27:58]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:00]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:01]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:02]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:11]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:12]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:13]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:14]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:14]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:19]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:20]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:21]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:23]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:24]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:25]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:28]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:29]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:31]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:32]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:33]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:35]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:36]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:41]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:42]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:42]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:43]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:47]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:47]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:48]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:48]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:49]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:55]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:56]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:57]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:58]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:58]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:28:59]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:00]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:00]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:05]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:06]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:07]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:07]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:08]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:09]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:09]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:10]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:11]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:14]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:20]User KartzGamer has bought Potion of Oryx for (5, Gold)
[11/28/2014 14:29:20]User KartzGamer has bought Potion of Oryx for (5, Gold)
